// Creator: RBR Ltd.
// Create time: 2026-01-12T08:45:45
// Instrument model firmware and serialID: RBRmaestro³ 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/Observation/SOMLIT/Somlit_rbr_toolbox/proc_data/rbr_maestro_profile_0_2025-10-14T10-06-15_to_2025-10-14T10-07-31.rsk opened using pyRSKtools v1.1.2.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Channel temperature aligned using lag(s) -0.045,-0.045 and shiftfill zeroorderhold
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	dissolved_o2_compensated (µmol/L) added to data table by RSK.addchannel().
//	temperature1_compensated (°C) added to data table by RSK.addchannel().
//	Remove loops with the threshold of 0.05 m/s.
//	Binned with respect to depth using [15.625  0.75 ] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    conductivity(mS/cm),    temperature(°C),    temperature1(°C),    dissolved_o2_concentration(µmol/L),    par(µmol/m²/s),    ph(pH_units),    chlorophyll-a(µg/L),    fdom(ppb),    turbidity(FTU),    depth(m),    salinity(PSU),    density_anomaly(kg/m³),    cast_direction
2025-10-14T10:07:04.500,    44.27088165283203,    16.055999450734816,    16.061699867248535,    291.84405517578125,    30.20375633239746,    9.956378936767578,    1.9890000820159912,    2.8995001316070557,    1.3392000198364258,    9.25,    35.273565060607474,    25.949288838781285,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.5,    nan,    nan,    u
2025-10-14T10:07:04.000,    44.271846771240234,    16.056135864229873,    16.061800003051758,    291.84320068359375,    27.408031463623047,    9.95710277557373,    1.9685001373291016,    2.894500255584717,    1.3387999534606934,    9.75,    35.27411879741463,    25.949700227839458,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.0,    nan,    nan,    u
2025-10-14T10:07:03.250,    44.272146224975586,    16.056336975074373,    16.061874389648438,    290.5860595703125,    24.978535652160645,    9.956711769104004,    1.9752501249313354,    2.892000198364258,    1.233449935913086,    10.25,    35.274054368722304,    25.949618393087235,    u
2025-10-14T10:07:02.500,    44.27293395996094,    16.056568603497,    16.06169891357422,    291.61383056640625,    23.625831604003906,    9.95384693145752,    1.9585001468658447,    2.879000186920166,    1.3106499910354614,    10.5,    35.27445525585852,    25.949882163714847,    u
2025-10-14T10:07:02.000,    44.27232360839844,    16.056468505878,    16.061498641967773,    291.6147766113281,    22.15106201171875,    9.95819091796875,    1.912000060081482,    2.876000165939331,    1.324299931526184,    10.75,    35.273866135973215,    25.949464347738513,    u
2025-10-14T10:06:42.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.0,    nan,    nan,    u
2025-10-14T10:07:01.500,    44.27278137207031,    16.056318664574064,    16.061199188232422,    290.4261169433594,    20.50269317626953,    9.959146499633789,    1.9950001239776611,    2.868500232696533,    1.3243999481201172,    11.25,    35.2742532088346,    25.949810499740124,    u
2025-10-14T10:07:01.000,    44.272945404052734,    16.05616607668344,    16.06089973449707,    290.4261474609375,    19.088600158691406,    9.958250999450684,    2.001500129699707,    2.936500072479248,    1.2940499782562256,    11.5,    35.27438294527798,    25.949959201289403,    u
